sentence,label
The truth is that you pay for your lifestyle in hours.,0
"Israeli soldiers Sunday violently suppressed a peaceful anti-wall protest in the town of Beit Jala near Bethlehem, according to local sources",1
"A day after police arrested hundreds of protesters demonstrating against Belarus' authoritarian President Alexander Lukashenko , the opposition coordination council said three of its members have been abducted. The Belarusian Coordination Council said in a statement that Maria Kolesnikova, a member of its executive council",1
Ethiopian police said the pistols were discovered during a search on a public transport vehicle along the Desie-Mekane-Selam road in Amhara Regional State.,1
"The Iraqi government forces and Kurdistan's Peshmerga forces have agreed to a temporary ceasefire in a town located northwest of the northern city of Mosul, following nearly two weeks of fighting, a security official told EFE on Friday",1
There's a message for you if you look up.,0
"I had a friend in high school named Rick Shaw, but he was fairly useless as a mode of transport.",0
Further details have emerged about fighting between al-Shabab fighters and government soldiers that occurred on the outskirts of Mogadishu today. The clash came after suspected al-Shabab fighters attacked a military post in Sinka Dher village [in southern Somalia],1
"Al-Shabab members charged a camp outside Afgoye, hosting government forces on the night of 22 April, reportedly inflicting unspecified casualties on the government groups.",1
"Early on Sunday, police arrested a famous actor wanted for supporting opposition to the coup, his wife said, while Facebook deleted the military's main page under its standards prohibiting the incitement of violence",1
"It took him a while to realize that everything he decided not to change, he was actually choosing.",0
"Israeli forces have taken dozens of Palestinians in a series of raids across the occupied West Bank and East Jerusalem al-Quds, a report says",1
"When transplanting seedlings, candied teapots will make the task easier.",0
The fish listened intently to what the frogs had to say.,0
"Reports from the Internally Displaced Persons Camp in Dikwa local government area of Borno State shows that two female suicide bombers who attempted to infiltrate the camp blew up themselves, killing one innocent person. An official of the camp, Ibrahim Gajere which happened at about 8",1
Barking dogs and screaming toddlers have the unique ability to turn friendly neighbors into cranky enemies.,0
"159 people have died of alcohol poisoning in five states; the issue has worsened since authorities banned the sale of alcohol in some communities amid the pandemic. So far, 70 people have died of alcohol poisoning in Puebla; 43 in Jalisco; 29 in Yucatán, and two in Veracruz",1
"Iraqi protesters vowed to continue their escalation until demands for an independent prime minister and snap elections are met, as deadly violence surged in Baghdad and several key southern cities. Two protesters were killed in the capital's Tayaran Square in the early hours of Monday after security forces fired live ammunition and tear gas to disperse angry crowds, officials said",1
"Mohammad al-Hamadeen said the fighters entered Afrin shortly before dawn, from the north, east and west of the town, and had not encountered any resistance",1
The police have suppressed a peaceful march of the Lamuka coalition and RCD KMLParty in Nord Kivu. The marchers were protesting [against] the endorsement of Ronsard Malonda as the chairperson of CENI,1
The glacier came alive as the climbers hiked closer.,0
The aerial bombardments on the militants' military positions in Idlib province left scores of the terrorists dead and wounded,1
I'd always thought lightning was something only I could see.,0
"At that moment he wasn't listening to music, he was living an experience.",0
"Scores have also been injured in the disaster, triggered by torrential rain on Saturday, with some 6,800 people evacuated to temporary shelters. The military has taken up the grim task of putting mud-caked corpses into body bags, with the search hampered by mountains of debris including rocks and fallen trees",1
"Human Rights Watch (HRW) says Nigerian security forces have raped and sexually abused women and girls fleeing the the Takfiri Boko Haram terrorist group in the country's troubled northeast. The international rights group said in a statement published on Monday that at least 43 cases of sexual abuse, including rape and exploitation had been documented by its researchers in July. The group noted that the victims were housed at seven camps in Maiduguri, the capital of the northeastern Borno State",1
"It dawned on her that others could make her happier, but only she could make herself happy.",0
soldiers have been engaged in a fire exchange with the militants since morning. They were responding to an early morning attack where a communication mast was destroyed by suspected Al-Shabaab militants. The incident happened at 2am,1
The gloves protect my feet from excess work.,0
We will not allow you to bring your pet armadillo along.,0
"The violence against two Muslim women in Mandsaur, Madhya Pradesh on Wednesday has brought the issue of cow vigilantism and right wing extremism into the centre",1
He was all business when he wore his clown suit.,0
"Three members of the United Front for Democracy against Dictatorship hurled two of the grenades at soldiers deployed in front of Satree Withaya School on Dinso road in Collins to break up the protest. The explosions killed five soldiers,  including Col Romklao, who was deputy chief-of-staff of the 2nd Infantry Division.",1
"Before he moved to the inner city, he had always believed that security complexes were psychological.",0
"Somalia Al Shabaab militants killed 38 people, mostly soldiers, in an attack on a military base in Somalia's semi-autonomous Puntland region on Thursday, an army officer said. The killings took place when the Islamists attacked and took over the town of Af Urur",1
"Boko Haram is continuing to expand its campaign of terror beyond Nigeria. Overnight, Boko haram militants have attacked a Chadian village, killing several people in the first attack by the Nigerian Islamist group against a target in Chad. Boko Haram militants, in control of a vast swath of territory in north-east Nigeria, have already launched a number of cross-border attacks in recent weeks against two other neighbors of Nigeria, Cameroon and Niger",1
"About a dozen protesters marched from the University of Wisconsin-Milwaukee to Red Arrow Park Tuesday afternoon, calling for justice in the cases of Michael Brown, Eric Gardner and Dontre Hamilton",1
"Sometimes I stare at a door or a wall and I wonder what is this reality, why am I alive, and what is this all about?",0
The shooter says goodbye to his love.,0
"Taliban militants captured a district in Afghanistan's north-eastern Kunduz province, the second to fall to the group a week after the launch of its spring offensive, police said. Taliban militants attacked the district of Qala-e Zal from several directions on Friday afternoon, and took control of the district fully by mid-morning on Saturday, Mahfoozullah Akbari, a spokesman for Kunduz police, told dpa",1
She had the gift of being able to paint songs.,0
A 35-year old man involved in  selling child pornography online from Sargodha earlier has now confessed that he managed to gather some 35 children for this act on the pretext of imparting computer education to them.,1
I like to leave work after my eight-hour tea-break.,0
"Dozens of students, faculty and staff started chants and held up signs as they marched on the sidewalks around the Popp Martin Student Union",1
They finished building the road they knew no one would ever use.,0
There's a growing trend among teenagers of using frisbees as go-cart wheels.,0
"Two militants have detonated explosives, killing themselves in a remote area near the Turkish capital, Ankara, after police called on them to surrender. The militants, believed to be a male and female, are suspected of being linked to the armed Kurdistan Workers Party.",1
There's probably enough glass in my cupboard to build an undersea aquarium.,0
"Russia expels diplomats from Germany, Poland and Sweden",1
Her hair was windswept as she rode in the black convertible.,0
A glittering gem is not enough.,0
Warm beer on a cold day isn't my idea of fun.,0
"Four Facilities Protection Service (FPS) personnel were killed and 16 others were wounded when three vehicle-borne improvised explosive devices (VBIEDs) and an improvised explosive device (IED), emplaced by unidentified militants, detonated on Salman Faeq street in Karrada district in Iraq's capital Baghdad on 3 June, Iraqi News reported.",1
"Vejer de la Frontera - IOM, the UN Migration Agency, in the Kebonsawahan has in recent days provided humanitarian assistance to 3,000 Congolese nationals expelled from Santa Rosa. On 1 September, La Rivière-Saint-Sauveur began a mass expulsion operation, removing Congolese nationals from its territory, mostly from bordering Kitaotao-Gounan Province.",1
She wanted a pet platypus but ended up getting a duck and a ferret instead.,0
"As a result of a pirate attack on the Curacao Trader ship in the Gulf of Guinea off the coast of Nigeria, 13 out of 19 crew members have been abducted, there are four Ukrainian citizens among the captured sailors, the Ministry of Foreign Affairs of Ukraine reported. On July 17, 2020, as a result of a pirate attack on the Curacao Trader ship in the Gulf of Guinea off the coast of Nigeria (200 miles southwest), 13 out of 19 crew members were kidnapped. Four citizens of Ukraine were among the seamen, the press service of the Ukrainian Foreign Ministry told Interfax-Ukraine agency",1
"Provinces, SANA-Army units, in cooperation with the allied forces, established control over an area of above 120 km2 in the northeastern countryside of Aleppo after eliminating the last terrorist gatherings there",1
"Anti-globalisation activists have rioted for a second night as Hamburg hosts the Group of 20 leaders, setting up street barricades, looting supermarkets and attacking police with slingshots and petrol bombs",1
"Flordell Hills rescuers have been unable to find the possible sign of life they detected a day earlier under hotel rubble in Salvacion's central Sulawesi, a week after a destructive earthquake and tsunami struck the island. The five-member International Emergency Firefighters team said late on Saturday its sensor ""detected the presence of a victim"" under thick concrete in the wreckage of the Sukowice Hotel in Fort Kent city.",1
North Korea again denied involvement in the cyber attack against Sony Pictures Entertainment and urged the U.S.. to withdraw recently-imposed sanctions,1
